,Title,Year,Metascore,Rating,Votes
143, Diary of a Wimpy Kid,2010,56,6.2 ,"56,415"
144, Harry Potter and the Deathly Hallows: Part 1,2010,65,7.7 ,"83,021"
145, I Spit on Your Grave,2010,27,6.2 ,"90,912"
146, Alice in Wonderland,2010,53,6.4 ,"33,579"
147, Percy Jackson & the Olympians: The Lightning Thief,2010,47,5.9 ,"97,248"
148, Tangled,2010,71,7.7 ,"82,022"
149, Incendies,2010,80,8.3 ,"91,465"
150, Remember Me,2010,40,7.1 ,"53,869"
151, Blue Valentine,2010,81,7.3 ,"07,690"
152, The Wolfman,2010,43,5.8 ,"10,426"
153, How to Train Your Dragon,2010,75,8.1 ,"81,369"
154, Hot Tub Time Machine,2010,63,6.4 ,"83,292"
155, Grown Ups,2010,30,6.0 ,"68,155"
156, The Expendables,2010,45,6.4 ,"60,437"
157, Easy A,2010,72,7.0 ,"09,513"
158, Toy Story 3,2010,92,8.3 ,"75,450"
159, Tron: Legacy,2010,49,6.8 ,"50,611"
160, Iron Man 2,2010,57,6.9 ,"53,393"
161, Despicable Me,2010,72,7.6 ,"71,936"
162, Robin Hood,2010,53,6.6 ,"79,287"
163, Kick-Ass,2010,66,7.6 ,"84,501"
164, RED,2010,60,7.0 ,"19,848"
